Name,Input,Output,Protein,RBS,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I9004,BBa_I9009,BBa_I9201,CI (Lambda),BBa_B0034,,,Not Released,,Not in stock,,3 Uses,Antiquity,crackdots,2004-01-27,,pgroup=Inverter&show=1.csv
BBa_J06803, , , , ,,Antiquity:0,Not Released,,It's complicated,None,4 Uses,iGEM2005,ytwang,2005-06-28,Spring 2017 Distribution;Spring 2016 Distribution,pgroup=Inverter&show=1.csv
BBa_J29032, , , , ,,,Not Released,,Not in stock,None,1 Uses,iGEM2006_Chiba,Kayo Yasuno,2006-08-04,,pgroup=Inverter&show=1.csv
BBa_J47533, , , , ,,,Not Released,,Not in stock,,Not Used,iGEM2006_PennState,Jon Badalamenti,2006-10-27,,pgroup=Inverter&show=1.csv
BBa_J5516, , , , ,,,Not Released,BBa_J11041,It's complicated,Works,Not Used,iGEM2006_Toronto,Charles Yoon,2006-10-29,,pgroup=Inverter&show=1.csv
BBa_J5519, , , , ,,,Not Released,,It's complicated,None,Not Used,iGEM2006_Toronto,Charles Yoon,2006-10-29,,pgroup=Inverter&show=1.csv
BBa_J5520, , , , ,,,Not Released,,It's complicated,None,Not Used,iGEM2006_Toronto,Charles Yoon,2006-10-29,,pgroup=Inverter&show=1.csv
BBa_J5521, , , , ,,,Not Released,,It's complicated,None,Not Used,iGEM2006_Toronto,Charles Yoon,2006-10-30,,pgroup=Inverter&show=1.csv
BBa_J5522, , , , ,,,Not Released,,It's complicated,None,Not Used,iGEM2006_Toronto,Charles Yoon,2006-10-30,,pgroup=Inverter&show=1.csv
BBa_J5532, , , , ,,,Not Released,,Not in stock,,Not Used,iGEM2006_Toronto,Stephen Davies,2006-11-09,,pgroup=Inverter&show=1.csv
BBa_J69703, , , , ,,,Not Released,BBa_J69701,Not in stock,None,Not Used,Haseloff Lab,James Brown,2007-03-29,,pgroup=Inverter&show=1.csv
BBa_J69704, , , , ,,,Not Released,BBa_K180016,Not in stock,None,Not Used,Haseloff Lab,James Brown,2007-03-29,,pgroup=Inverter&show=1.csv
BBa_J69705, , , , ,,,Not Released,BBa_J05505,Not in stock,None,Not Used,Haseloff Lab,James Brown,2007-03-29,,pgroup=Inverter&show=1.csv
BBa_J69706, , , , ,,,Not Released,,Not in stock,None,Not Used,Haseloff Lab,James Brown,2007-03-29,,pgroup=Inverter&show=1.csv
BBa_J85208, , , , ,,,Not Released,,Not in stock,,Not Used,Weiss Lab,Jonathan W Babb,2010-01-28,,pgroup=Inverter&show=1.csv
BBa_J85209, , , , ,,,Not Released,,Not in stock,,Not Used,Weiss Lab,Jonathan W Babb,2010-01-28,,pgroup=Inverter&show=1.csv
BBa_J85950, , , , ,,,Not Released,,Not in stock,,Not Used,Weiss Lab,Ron Weiss,2011-09-06,,pgroup=Inverter&show=1.csv
BBa_K098985, , , , ,,,Not Released,,It's complicated,None,2 Uses,iGEM08_Harvard,Harvard iGEM 08,2008-10-26,,pgroup=Inverter&show=1.csv
BBa_K098986, , , , ,,,Not Released,,It's complicated,None,1 Uses,iGEM08_Harvard,Harvard iGEM 08,2008-10-26,,pgroup=Inverter&show=1.csv
BBa_K1060010, , , , ,,,Not Released,,Not in stock,None,Not Used,iGEM13_KU_Leuven,|Ingmar Claes, Lukas Marcelis, Su Wang|,2013-09-19,,pgroup=Inverter&show=1.csv
BBa_K1163999, , , , ,,,Not Released,BBa_K188141,It's complicated,None,Not Used,iGEM13_Evry,Guillaume Mercy,2013-09-02,,pgroup=Inverter&show=1.csv
BBa_K1362991, , , , ,,,Not Released,BBa_J70594;BBa_K371025,Not in stock,None,Not Used,iGEM14_Heidelberg,Jakob Kreft,2014-10-04,,pgroup=Inverter&show=1.csv
BBa_K1366003, , , , ,,,Not Released,,Not in stock,,Not Used,iGEM14_Tec-Monterrey,Eduardo Cepeda Cañedo,2014-10-10,,pgroup=Inverter&show=1.csv
BBa_K1366004, , , , ,,,Not Released,,Not in stock,,Not Used,iGEM14_Tec-Monterrey,Eduardo Cepeda Cañedo,2014-10-10,,pgroup=Inverter&show=1.csv
BBa_K1366005, , , , ,,,Not Released,,No part sequence,,No Sequence,iGEM14_Tec-Monterrey,Eduardo Cepeda Cañedo,2014-10-10,,pgroup=Inverter&show=1.csv
BBa_K1385001, , , , ,,,Not Released,,It's complicated,Works,Not Used,iGEM14_WashU_StLouis,Benjamin Huang,2014-10-07,,pgroup=Inverter&show=1.csv
BBa_K145004, , , , ,,,Not Released,,Not in stock,,Not Used,iGEM08_KULeuven,Jonas Demeulemeester,2008-07-08,,pgroup=Inverter&show=1.csv
BBa_K1768001, , , , ,,,Not Released,,Not in stock,None,1 Uses,iGEM15_Pretoria_UP,Gert Pietersen,2015-09-12,,pgroup=Inverter&show=1.csv
