Name,To be add,,part_rating,,release_status,twins,sample_status,part_results,use,group,author,date,distrbution
BBa_J85950,To be add,,,,Not Released,,Not in stock,,Not Used,Weiss Lab,Ron Weiss,2011-09-06,
BBa_K098985,To be add,,,,Not Released,,It's complicated,None,2 Uses,iGEM08_Harvard,Harvard iGEM 08,2008-10-26,
BBa_K098986,To be add,,,,Not Released,,It's complicated,None,1 Uses,iGEM08_Harvard,Harvard iGEM 08,2008-10-26,
BBa_K1060010,To be add,,,,Not Released,,Not in stock,None,Not Used,iGEM13_KU_Leuven,"Ingmar Claes, Lukas Marcelis, Su Wang",2013-09-19,
BBa_K1163999,To be add,,,,Not Released,BBa_K188141,It's complicated,None,Not Used,iGEM13_Evry,Guillaume Mercy,2013-09-02,
BBa_K1362991,To be add,,,,Not Released,BBa_J70594;BBa_K371025,Not in stock,None,Not Used,iGEM14_Heidelberg,Jakob Kreft,2014-10-04,
BBa_K1366003,To be add,,,,Not Released,,Not in stock,,Not Used,iGEM14_Tec-Monterrey,Eduardo Cepeda Ca甯絜do,2014-10-10,
BBa_K1366004,To be add,,,,Not Released,,Not in stock,,Not Used,iGEM14_Tec-Monterrey,Eduardo Cepeda Ca甯絜do,2014-10-10,
BBa_K1366005,To be add,,,,Not Released,,No part sequence,,No Sequence,iGEM14_Tec-Monterrey,Eduardo Cepeda Ca甯絜do,2014-10-10,
BBa_K1385001,To be add,,,,Not Released,,It's complicated,Works,Not Used,iGEM14_WashU_StLouis,Benjamin Huang,2014-10-07,
BBa_K145004,To be add,,,,Not Released,,Not in stock,,Not Used,iGEM08_KULeuven,Jonas Demeulemeester,2008-07-08,
BBa_K1768001,To be add,,,,Not Released,,Not in stock,None,1 Uses,iGEM15_Pretoria_UP,Gert Pietersen,2015-09-12,
BBa_K1768003,To be add,,,,Not Released,,Not in stock,,Not Used,iGEM15_Pretoria_UP,Gert Pietersen,2015-09-14,
BBa_K1774003,To be add,,,,Not Released,,Not in stock,None,1 Uses,iGEM15_Hong_Kong_HKU,HKU iGEM 2015,2015-09-18,
BBa_K185033,To be add,,,,Not Released,,It's complicated,Works,Not Used,iGEM09_SJTU-BioX-Shanghai,Yixin Tao,2009-10-16,
BBa_K1960007,To be add,,,,Not Released,,Not in stock,Works,-1 Uses,iGEM16_XMU-China,Zuo Wang,2016-10-08,
BBa_K2012000,To be add,,,,Not Released,,Not in stock,None,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-08-05,
BBa_K2012001,To be add,,,,Not Released,,Not in stock,None,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-08-05,
BBa_K2012003,To be add,,,,Not Released,,Not in stock,,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-09-14,
BBa_K2012010,To be add,,,,Not Released,,Not in stock,,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-09-15,
BBa_K2012011,To be add,,,,Not Released,,Not in stock,,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-09-15,
BBa_K2012012,To be add,,,,Not Released,,Not in stock,,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-09-15,
BBa_K2055014,To be add,,,,Not Released,,Not in stock,None,-1 Uses,iGEM16_Tec-Monterrey,Raul Garza & Carlos Vasquez,2016-09-28,
BBa_K2055015,To be add,,,,Not Released,,Not in stock,None,-1 Uses,iGEM16_Tec-Monterrey,Raul Garza & Carlos Vasquez,2016-09-28,
BBa_K223058,To be add,,,,Not Released,,Not in stock,,1 Uses,iGEM09_Stanford,Anusuya Ramasubramanian,2009-10-18,
BBa_K249001,To be add,,,,Not Released,,It's complicated,,10 Uses,iGEM09_Lethbridge,Roxanne Shank,2009-08-26,Spring 2017 Distribution;Spring 2016 Distribution
BBa_K266001,To be add,,,,Not Released,BBa_S04215,It's complicated,Works,1 Uses,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,
BBa_K266003,To be add,,,,Not Released,BBa_S04303,It's complicated,None,1 Uses,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,
BBa_K266004,To be add,,,,Not Released,BBa_S04206,It's complicated,Works,1 Uses,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,
BBa_K266008,To be add,,,,Not Released,BBa_S04208;BBa_K418002,It's complicated,None,1 Uses,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,
BBa_K266009,To be add,,,,Not Released,BBa_S04209,It's complicated,None,Not Used,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-13,
BBa_K266011,To be add,,,,Not Released,BBa_S04302,Not in stock,None,Not Used,iGEM09_IPN-UNAM-Mexico,UNAM FCIENCIAS-CINVESTAV IRA,2009-10-14,
BBa_K377704,To be add,,,,Not Released,BBa_K1019000;BBa_K1632010,It's complicated,None,Not Used,iGEM10_Michigan,Kevin Joseph,2010-10-14,
BBa_K783067,To be add,,,,Not Released,,It's complicated,,Not Used,iGEM12_BostonU,Traci Haddock,2012-10-02,
BBa_M1398,To be add,,,,Not Released,BBa_M11107;BBa_M11108;BBa_M1111;BBa_M1404;BBa_M1399;BBa_M1308;BBa_M1401;BBa_M1089;BBa_M1199;BBa_M1300;BBa_M1299;BBa_M1402;BBa_M1297;BBa_M1403;BBa_M1002;BBa_M1296;BBa_M1388;BBa_M1050;BBa_M1197;BBa_M1992;BBa_M1015;BBa_M1298;BBa_M1012;BBa_M1995;BBa_M1993;BBa_M1257;BBa_M1555;BBa_M1579;BBa_M1771;BBa_M1599;BBa_M1598;BBa_M1991;BBa_M1167;BBa_M1174;BBa_M1155;BBa_M1157;BBa_M1188;BBa_M45997;BBa_M45109;BBa_M45961;BBa_M45403;BBa_M45720;BBa_M45604;BBa_M45820;BBa_M45015;BBa_M45016;BBa_M45017,Not in stock,,Not Used,UtahState_BE5930_-_S11,Kristopher Loken,2011-03-28,
BBa_Q00121,To be add,,,,Not Released,,Not in stock,None,Not Used,Antiquity,mit,2004-07-20,
BBa_Q00400,To be add,,,,Not Released,,Not in stock,None,Not Used,Antiquity,mit,2004-07-20,
BBa_Q01122,To be add,,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q01500,To be add,,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q01510,To be add,,,,Not Released,BBa_J85124,It's complicated,None,4 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q01520,To be add,,,,Not Released,BBa_J85123,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q02121,To be add,,,,Not Released,,Not in stock,None,Not Used,Antiquity,mit,2004-07-20,
BBa_Q02400,To be add,,,,Not Released,,Not in stock,None,Not Used,Antiquity,mit,2004-07-20,
BBa_Q02740,To be add,,,,Not Released,,Not in stock,,Not Used,Endy Lab,Kelly Chang,2006-01-17,
BBa_Q03122,To be add,,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q03500,To be add,,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q03510,To be add,,,,Not Released,BBa_S03666,It's complicated,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q03511,To be add,,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q03520,To be add,,,,Not Released,,Not in stock,,Not Used,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q03740,To be add,,,,Not Released,,Not in stock,,Not Used,Endy Lab,Kelly Chang,2006-01-17,
BBa_Q04120,To be add,,,,Not Released,,Not in stock,,1 Uses,Antiquity,"Alvin Carter Powers, Yong-Su Jin (Fighting Darwins)",2004-01-27,
BBa_Q04122,To be add,,,,Not Released,,Not in stock,,24 Uses,Antiquity,"Caitlin Conboy, Jennifer Braff",2003-12-02,
BBa_Q04401,To be add,,,,Not Released,,Not in stock,Works,7 Uses,MIT,Josh Michener,2006-05-11,
BBa_Q04500,To be add,,,,Not Released,,Not in stock,,10 Uses,Antiquity,Caitlin Conboy and Jennifer Braff,2003-12-02,
BBa_Q04720,To be add,,,,Not Released,BBa_I13072;BBa_J85122,Not in stock,,Not Used,Endy Lab,Kelly Chang,2006-05-05,
BBa_Q04730,To be add,,,,Not Released,BBa_I9001,Not in stock,,Not Used,Endy Lab,Kelly Chang,2006-05-10,
BBa_Q04740,To be add,,,,Not Released,,Not in stock,None,2 Uses,Antiquity,Barry Canton,2004-07-05,
BBa_Q04800,To be add,,,,Not Released,BBa_I3700,Not in stock,,2 Uses,Antiquity,"Alvin Carter Powers, Sara Neves (Fighting Darwins)",2004-01-27,
BBa_Q04811,To be add,,,,Not Released,,Not in stock,,1 Uses,Antiquity,"Alvin Carter Powers, Yong-Su Jin (Fighting Darwins)",2004-01-27,
BBa_Q07400,To be add,,,,Not Released,,Not in stock,,Not Used,MIT,Josh Michener,2005-12-20,
BBa_Q08400,To be add,,,,Not Released,,Not in stock,,Not Used,MIT,Josh Michener,2005-12-20,
BBa_Q09400,To be add,,,,Not Released,,Not in stock,,Not Used,MIT,Josh Michener,2005-12-20,
BBa_Q20050,To be add,,,,Not Released,,It's complicated,,1 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,
BBa_Q200514,To be add,,,,Not Released,,It's complicated,,Not Used,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,
BBa_Q20060,To be add,,,,Not Released,,It's complicated,,2 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,
BBa_Q20061,To be add,,,,Not Released,,It's complicated,,1 Uses,iGEM07_Example,Reshma Shetty,2008-01-09,
BBa_Q200614,To be add,,,,Not Released,,It's complicated,,1 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,
BBa_Q20070,To be add,,,,Not Released,,It's complicated,,1 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,
BBa_Q200714,To be add,,,,Not Released,,It's complicated,,1 Uses,iGEM2006_Bangalore,Reshma Shetty,2007-03-28,
BBa_S04206,To be add,,,,Not Released,BBa_K266004,It's complicated,None,1 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-06-03,
BBa_S04208,To be add,,,,Not Released,BBa_K266008;BBa_K418002,It's complicated,None,2 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-06-03,
BBa_S04215,To be add,,,,Not Released,BBa_K266001,It's complicated,Issues,2 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-07-05,
BBa_S04302,To be add,,,,Not Released,BBa_K266011,Not in stock,None,1 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-10-12,
BBa_S04303,To be add,,,,Not Released,BBa_K266003,It's complicated,None,1 Uses,Guests,UNAM FCiencias-CINVESTAV IRA,2009-10-12,
