Name,Safety
BBa_K801038,1
BBa_K801039,1
BBa_K801040,1
BBa_K801042,1
BBa_K801060,1
BBa_K801061,1
BBa_K801062,1
BBa_K801063,1
BBa_K801064,1
BBa_K801070,1
BBa_K801071,1
BBa_K801072,1
BBa_K801073,1
BBa_K801074,1
BBa_K801075,1
BBa_K801080,1
BBa_K801081,1
BBa_K801090,1
BBa_K801091,1
BBa_K801092,1
BBa_K801093,1
BBa_K801094,1
BBa_K801095,1
BBa_K801096,1
BBa_K801097,1
BBa_K801098,1
BBa_K809401,1
BBa_K863201,1
BBa_K950000,1
BBa_K950001,1
BBa_K950002,1
BBa_K950003,1
BBa_K950004,1
BBa_K950005,1
BBa_K950006,1
BBa_K950007,1
BBa_K950008,1
BBa_K950009,1
BBa_K976003,1
BBa_K976004,1
BBa_K976006,1
BBa_K976007,1
BBa_K976008,1
BBa_K976009,1
BBa_M31201,1
BBa_M36527,1
BBa_Y00029,1
BBa_Y00029,1
BBa_Y00073,1
BBa_Y00073,1
BBa_Y00100,1
BBa_Y1015,1
BBa_K809001,1
BBa_K809003,1
BBa_K809004,1
BBa_K809005,1
BBa_K809007,1
BBa_K809008,1
BBa_K809009,1
BBa_K809101,1
BBa_K809106,1
BBa_K809107,1
BBa_K809108,1
BBa_K809402,1
BBa_K809403,1
BBa_K809501,1
BBa_K809503,1
BBa_K809504,1
BBa_E0040,1
BBa_E1010,1
BBa_I742123,1
BBa_I746665,1
BBa_I746666,1
BBa_J179000,1
BBa_J179001,1
BBa_J179002,1
BBa_J33206,1
BBa_K090402,1
BBa_K090403,1
BBa_K090502,1
BBa_K090503,1
BBa_K090505,1
BBa_K090506,1
BBa_K104001,1
BBa_K104002,1
BBa_K104003,1
BBa_K104004,1
BBa_K104005,1
BBa_K104006,1
BBa_K104007,1
BBa_K104009,1
BBa_K1065204,1
BBa_K1074006,1
BBa_K1074013,1
BBa_K1085000,1
BBa_K1085001,1
BBa_K1085002,1
BBa_K1085003,1
BBa_K1085004,1
BBa_K1085005,1
BBa_K1085006,1
BBa_K1085007,1
BBa_K1085010,1
BBa_K1085012,1
BBa_K1085014,1
BBa_K1085016,1
BBa_K1085018,1
BBa_K1085029,1
BBa_K1085034,1
BBa_K1085045,1
BBa_K1085050,1
BBa_K1122000,1
BBa_K1122069,1
BBa_K1122666,1
BBa_K1185000,1
BBa_K1185001,1
BBa_K1185002,1
BBa_K1185004,1
BBa_K1197001,1
BBa_K1197002,1
BBa_K1197003,1
BBa_K1197004,1
BBa_K1197005,1
BBa_K1197008,1
BBa_K1197009,1
BBa_K1197010,1
BBa_K1228006,1
BBa_K1228007,1
BBa_K1228008,1
BBa_K1228009,1
BBa_K134900,1
BBa_K1351000,1
BBa_K1351001,1
BBa_K1351002,1
BBa_K1351003,1
BBa_K1351004,1
BBa_K1351005,1
BBa_K1351006,1
BBa_K1351007,1
BBa_K1351008,1
BBa_K1351010,1
BBa_K1351011,1
BBa_K1351012,1
BBa_K1351013,1
BBa_K1351017,1
BBa_K1351018,1
BBa_K1351021,1
BBa_K1351024,1
BBa_K1351025,1
BBa_K1351026,1
BBa_K1351027,1
BBa_K1351028,1
BBa_K1351029,1
BBa_K1351030,1
BBa_K1351031,1
BBa_K1351032,1
BBa_K1351033,1
BBa_K1351034,1
BBa_K1351037,1
BBa_K1351038,1
BBa_K1351039,1
BBa_K1362461,1
BBa_K1364000,1
BBa_K1364002,1
BBa_K1364003,1
BBa_K1364004,1
BBa_K1364005,1
BBa_K1364007,1
BBa_K1364008,1
BBa_K1364009,1
BBa_K1364010,1
BBa_K1364011,1
BBa_K1364013,1
BBa_K1364015,1
BBa_K1364016,1
BBa_K1364017,1
BBa_K1364021,1
BBa_K1399000,1
BBa_K1399001,1
BBa_K1399002,1
BBa_K1399003,1
BBa_K1399004,1
BBa_K1399005,1
BBa_K1399006,1
BBa_K1399007,1
BBa_K1399008,1
BBa_K143001,1
BBa_K143002,1
BBa_K143005,1
BBa_K143006,1
BBa_K143008,1
BBa_K143009,1
BBa_K143010,1
BBa_K143011,1
BBa_K143012,1
BBa_K143013,1
BBa_K143014,1
BBa_K143015,1
BBa_K143020,1
BBa_K143021,1
BBa_K143032,1
BBa_K143034,1
BBa_K143035,1
BBa_K143036,1
BBa_K143037,1
BBa_K143038,1
BBa_K143039,1
BBa_K143050,1
BBa_K143051,1
BBa_K143052,1
BBa_K143053,1
BBa_K143054,1
BBa_K143055,1
BBa_K143056,1
BBa_K143057,1
BBa_K143058,1
BBa_K143059,1
BBa_K143060,1
BBa_K143061,1
BBa_K143063,1
BBa_K143066,1
BBa_K143067,1
BBa_K143068,1
BBa_K143069,1
