Name,Description,Length,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_I13604,Reporter construct for constitutive YFP and inducible CFP ,1889,,Antiquity:5,Released HQ 2013,BBa_J14467,In stock,Works,Not Used,Antiquity,"Chris Batton, Victoria Chou, Kenneth Nesmith",2004-07-16,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_Multiple&show=1.csv
BBa_I13605,Reporter Construct (Ly-Tc-) for constitutive CFP and inducible YFP,1889,,Antiquity:5,Released HQ 2013,BBa_J14466,In stock,Works,1 Uses,Antiquity,"Chris Batton, Victoria Chou, Kenneth Nesmith",2004-07-16,Spring 2017 Distribution;Spring 2016 Distribution;Spring 2015 Distribution;Spring 2014 Distribution,pgroup=Reporter_Multiple&show=1.csv
BBa_I13607,Lac YFP Tet CFP (Ly+Tc+),1967,,Antiquity:5,Not Released,,It's complicated,Works,1 Uses,Antiquity,"Chris Batton, Victoria Chou, Kenneth Nesmith",2004-07-16,,pgroup=Reporter_Multiple&show=1.csv
